index,state,conditions,purview,mechanism
18,10000000000000000000,ABCDEFGHIJKLMNOPQRST,BCDEFGHIJKLMNOPQRST,BCDEFGHIJKLMNOPQRS
19,10000000000000000000,ABCDEFGHIJKLMNOPQRST,BCDEFGHIJKLMNOPQRST,ACEGIKMOQS
20,10000000000000000000,ABCDEFGHIJKLMNOPQRST,BCDEFGHIJKLMNOPQRST,BDFHJLNPRT
21,10000000000000000000,ABCDEFGHIJKLMNOPQRST,BCDEFGHIJKLMNOPQRST,ABDEGHJKMNPQST
22,10000000000000000000,ABCDEFGHIJKLMNOPQRST,BCDEFGHIJKLMNOPQRS,ABCDEFGHIJKLMNOPQRST
23,10000000000000000000,ABCDEFGHIJKLMNOPQRST,BCDEFGHIJKLMNOPQRS,ABCDEFGHIJKLMNOPQRS
24,10000000000000000000,ABCDEFGHIJKLMNOPQRST,BCDEFGHIJKLMNOPQRS,BCDEFGHIJKLMNOPQRST
25,10000000000000000000,ABCDEFGHIJKLMNOPQRST,BCDEFGHIJKLMNOPQRS,BCDEFGHIJKLMNOPQRS
26,10000000000000000000,ABCDEFGHIJKLMNOPQRST,BCDEFGHIJKLMNOPQRS,ACEGIKMOQS
27,10000000000000000000,ABCDEFGHIJKLMNOPQRST,BCDEFGHIJKLMNOPQRS,BDFHJLNPRT
28,10000000000000000000,ABCDEFGHIJKLMNOPQRST,BCDEFGHIJKLMNOPQRS,ABDEGHJKMNPQST
29,10000000000000000000,ABCDEFGHIJKLMNOPQRST,ACEGIKMOQS,ABCDEFGHIJKLMNOPQRST
30,10000000000000000000,ABCDEFGHIJKLMNOPQRST,ACEGIKMOQS,ABCDEFGHIJKLMNOPQRS
31,10000000000000000000,ABCDEFGHIJKLMNOPQRST,ACEGIKMOQS,BCDEFGHIJKLMNOPQRST
32,10000000000000000000,ABCDEFGHIJKLMNOPQRST,ACEGIKMOQS,BCDEFGHIJKLMNOPQRS
33,10000000000000000000,ABCDEFGHIJKLMNOPQRST,ACEGIKMOQS,ACEGIKMOQS
34,10000000000000000000,ABCDEFGHIJKLMNOPQRST,ACEGIKMOQS,BDFHJLNPRT
35,10000000000000000000,ABCDEFGHIJKLMNOPQRST,ACEGIKMOQS,ABDEGHJKMNPQST
36,10000000000000000000,ABCDEFGHIJKLMNOPQRST,BDFHJLNPRT,ABCDEFGHIJKLMNOPQRST
37,10000000000000000000,ABCDEFGHIJKLMNOPQRST,BDFHJLNPRT,ABCDEFGHIJKLMNOPQRS
38,10000000000000000000,ABCDEFGHIJKLMNOPQRST,BDFHJLNPRT,BCDEFGHIJKLMNOPQRST
39,10000000000000000000,ABCDEFGHIJKLMNOPQRST,BDFHJLNPRT,BCDEFGHIJKLMNOPQRS
40,10000000000000000000,ABCDEFGHIJKLMNOPQRST,BDFHJLNPRT,ACEGIKMOQS
41,10000000000000000000,ABCDEFGHIJKLMNOPQRST,BDFHJLNPRT,BDFHJLNPRT
42,10000000000000000000,ABCDEFGHIJKLMNOPQRST,BDFHJLNPRT,ABDEGHJKMNPQST
43,10000000000000000000,ABCDEFGHIJKLMNOPQRST,ABDEGHJKMNPQST,ABCDEFGHIJKLMNOPQRST
44,10000000000000000000,ABCDEFGHIJKLMNOPQRST,ABDEGHJKMNPQST,ABCDEFGHIJKLMNOPQRS
45,10000000000000000000,ABCDEFGHIJKLMNOPQRST,ABDEGHJKMNPQST,BCDEFGHIJKLMNOPQRST
46,10000000000000000000,ABCDEFGHIJKLMNOPQRST,ABDEGHJKMNPQST,BCDEFGHIJKLMNOPQRS
47,10000000000000000000,ABCDEFGHIJKLMNOPQRST,ABDEGHJKMNPQST,ACEGIKMOQS
48,10000000000000000000,ABCDEFGHIJKLMNOPQRST,ABDEGHJKMNPQST,BDFHJLNPRT
49,10000000000000000000,ABCDEFGHIJKLMNOPQRST,ABDEGHJKMNPQST,ABDEGHJKMNPQST
50,10000000000000000000,ABCDEFGHIJKLMNOPQRST,ACDEFGHIJKLMNOPQRST,ACDEFGHIJKLMNOPQRST
